car_model,price,year_model,kms,color,fueltype
Renault Logan Authentique Automatico,$36.800.000,2020,80.000,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$35.500.000,2018,98.000,Blanco,Gasolina
Renault Logan 1.6 Intens,$63.900.000,2023,19.600,Blanco,Gasolina
Renault Logan LIFE 1.6,$49.400.000,2023,28.448,Blanco,Gasolina
Renault Logan 1.6 Authentique / Life,$35.900.000,2017,68.000,Gris,Gasolina
Renault Logan expresión 1.6 MT,$20.900.000,2008,185.000,Plateado,Gasolina
Renault Logan Mecánico Expression,$37.500.000,2018,84.000,Gris,Gasolina
Renault Logan 1.6 Dynamique ,$23.500.000,2010,140.000,Azul,Gasolina
Renault Logan Life 2023 Mt,$46.900.000,2023,24.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.000.000,2012,184.000,Gris,Gasolina
Renault Logan Dynamique Mt,$42.999.000,2019,67.500,Blanco,Gasolina
Renault Logan 1.6 Privilege,$31.000.000,2017,102.800,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$24.500.000,2013,227.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$37.000.000,2017,40.479,Negro,Gasolina
Renault Logan Exclusive 2020,$47.990.000,2020,20.800,Plateado,Gasolina
Renault Logan Family 2016,$28.499.999,2016,105.000,Gris,Gasolina
Renault Logan Privilege,$38.900.000,2017,1,Plateado,Gasolina
Renault Logan Dynamique 1.6,$30.000.000,2015,218.500,Rojo,Gasolina
Renault Logan 2020,$37.300.000,2020,75.300,Plateado,Gasolina
Renault Logan Authentique,$36.900.000,2020,1,Plateado,Gasolina
Renault Logan Intens Mt 1.6 Kqz831,$51.990.000,2022,43.388,Gris,Gasolina
Renault Logan 1.6 Exclusive,$39.500.000,2018,92.550,Plateado,Gasolina
Renault Logan 1.6 Expression / Life +,$33.900.000,2018,70.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$30.000.000,2015,133.634,Rojo,Gasolina
Renault Logan Zen,$54.900.000,2022,32.084,Gris,Gasolina
Renault Logan 1.6 life Mecanico,$45.900.000,2023,21.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.990.000,2017,98.000,Gris,Gasolina
Logan Privilege At,$38.000.000,2017,99.729,Dorado,Gasolina
Logan Intense At ,$50.500.000,2019,52.903,Gris,Gasolina
Renault Logan 1.6 Authentique,$49.990.000,2022,65.000,Gris,Gasolina
Renault Logan Life +,$62.896.200,2024,0,Gris,Gasolina
Renault Logan INTENS 1.6,$50.400.000,2021,24.204,Rojo,Gasolina
Renault Logan intens,$40.900.000,2018,51.078,Rojo,Gasolina
Renault Logan 1.6 Authentique / Life,$32.800.000,2017,78.000,Gris,Gasolina
Renault Logan 1.6 Life Plus,$66.439.800,2024,0,Blanco,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2011,171.000,Negro,Gasolina
Renault Logan 1.6 LIFE AUTOMATICO,$49.800.000,2023,14.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$32.900.000,2016,73.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier,$20.900.000,2010,160,Plateado,Gasolina
Renault Logan 1.6 Authentique,$33.000.000,2017,82.300,Gris,Gasolina
Renault Logan Authentique life mt 1600cc,$35.000.000,2020,56.000,Plateado,Gasolina
Renault Logan 1.6 Life Plus,$57.900.000,2024,18.180,Blanco,Gasolina
Renault Logan 1.6 Authentique / Life,$54.400.000,2023,67.149,Gris,Gasolina
Renault Logan 1.6 Expression,$33.900.000,2016,75.800,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$28.000.000,2014,118.000,Rojo,Gasolina
Renault Logan 1.6 Authentique,$39.500.000,2019,48.600,Color not found,Gasolina
Renault Logan 1.6 Privilege / Intens,$56.300.000,2022,23.000,Color not found,Gasolina
Renault Logan 1.6 Expression,$29.900.000,2016,56.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$29.900.000,2014,57.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$38.600.000,2019,45.000,Gris,Gasolina
Renault Logan Life +,$39.500.000,2019,48.000,Rojo,Gasolina
Renault Logan 1.4 Familier,$24.900.000,2012,76.000,Gris,Gasolina
Renault Logan Mt 1.6cc 16v 2023,$42.700.000,2023,Publicado,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$46.300.000,2023,20.000,Color not found,Gasolina
Renault LOGAN LIFE PLUS LIFE,$46.900.000,2023,24.000,Plateado,Gasolina
